0	3	0	12
0	2	50	57
0	5	13	49
0	8	13	21
0	7	38	49
1	2	0	17
1	1	0	17
1	1	33	81
1	5	18	71
1	4	81	111
1	7	18	31
1	7	113	122
1	6	18	32
1	6	82	92
2	3	0	9
2	8	10	22
2	5	10	34
3	2	0	13
3	1	0	15
3	1	29	69
3	5	14	60
3	4	70	104
3	7	14	28
3	6	16	28
3	6	70	80
4	2	0	13
4	1	0	13
4	1	30	68
4	5	14	59
4	4	69	105
4	7	14	29
4	6	14	29
4	6	69	78
5	2	0	13
5	1	0	13
5	1	27	69
5	5	14	62
5	4	70	109
5	7	14	28
5	6	14	26
5	6	70	82
6	3	28	34
6	5	0	27
6	8	17	27
7	2	79	81
7	1	35	66
7	1	79	81
7	5	40	79
7	7	65	79
7	4	0	34
7	6	24	34
7	6	67	79
8	3	0	9
8	5	10	32
8	8	10	21
9	3	0	5
9	1	0	5
9	1	19	28
9	5	6	28
9	8	6	17
9	6	6	18
10	3	0	8
10	8	9	18
10	5	9	31
11	3	26	30
11	1	0	14
11	1	27	30
11	5	0	25
11	8	15	25
11	6	15	26
12	3	0	11
12	2	50	58
12	5	13	49
12	8	12	23
12	7	40	49
13	2	77	82
13	1	32	82
13	5	41	76
13	4	0	33
13	7	67	76
13	6	25	31
14	3	27	37
14	5	0	26
14	8	15	26
15	3	0	8
15	5	9	32
15	8	9	21
16	3	25	31
16	1	0	11
16	1	25	31
16	5	0	24
16	8	12	24
16	6	12	24
17	3	40	47
17	2	0	7
17	5	7	40
17	8	29	39
17	7	8	12
18	3	0	12
18	5	13	33
18	8	13	23
19	3	0	10
19	1	0	8
19	1	21	29
19	5	9	29
19	8	11	20
19	6	9	20
20	3	0	9
20	2	53	59
20	5	10	52
20	8	10	21
20	7	42	52
21	2	0	10
21	1	0	10
21	1	24	67
21	5	11	62
21	4	68	103
21	7	11	23
21	6	11	23
21	6	68	78
22	2	78	82
22	1	31	62
22	1	80	82
22	5	38	78
22	7	64	77
22	4	0	30
22	6	20	30
22	6	63	80
23	3	43	46
23	2	0	5
23	5	4	42
23	8	30	42
23	7	6	14
24	3	24	31
24	1	0	14
24	1	25	31
24	5	0	24
24	8	15	23
24	6	15	24
25	3	44	48
25	2	0	6
25	5	6	43
25	8	32	43
25	7	7	15
26	3	0	6
26	5	8	26
26	8	7	18
27	3	0	7
27	5	8	29
27	8	8	17
28	3	0	9
28	1	0	6
28	1	21	30
28	5	7	30
28	8	10	18
28	6	7	20
29	3	0	7
29	1	0	6
29	1	23	33
29	5	7	33
29	8	8	21
29	6	0	0
29	6	7	22
30	3	0	8
30	5	9	30
30	8	9	19
31	3	0	14
31	1	0	12
31	1	24	32
31	5	13	32
31	8	15	21
31	6	13	23
32	3	27	33
32	1	0	15
32	1	28	33
32	5	0	27
32	8	15	26
32	6	16	27
33	3	0	11
33	1	0	10
33	1	21	29
33	5	11	29
33	8	12	20
33	6	11	20
34	3	0	4
34	1	0	4
34	1	19	27
34	5	5	27
34	8	5	19
34	6	5	18
35	3	40	45
35	2	0	9
35	5	7	39
35	8	28	39
35	7	10	13
36	2	72	74
36	2	80	84
36	1	34	66
36	1	79	84
36	5	41	79
36	4	0	34
36	7	66	71
36	7	75	79
36	6	22	33
36	6	67	78
37	2	84	88
37	1	32	88
37	5	39	83
37	4	0	32
37	7	68	83
37	6	22	31
38	2	0	12
38	1	0	12
38	1	27	65
38	5	13	60
38	4	65	118
38	7	13	25
38	6	13	26
38	6	66	78
39	2	0	13
39	1	0	13
39	1	35	76
39	5	14	69
39	4	77	115
39	7	14	34
39	6	14	34
39	6	77	88
40	3	23	28
40	5	0	22
40	8	13	22
41	3	0	5
41	1	0	5
41	1	20	27
41	5	6	27
41	8	6	18
41	6	6	19
42	3	25	31
42	1	0	10
42	1	26	31
42	5	0	24
42	8	12	24
42	6	11	25
43	3	43	47
43	2	0	5
43	5	6	42
43	8	33	42
43	7	6	14
44	3	0	9
44	1	0	9
44	1	22	30
44	5	10	30
44	8	10	20
44	6	10	21
45	3	23	31
45	1	0	13
45	1	25	31
45	5	0	24
45	8	14	22
45	6	14	24
46	3	0	6
46	5	8	32
46	8	7	20
47	3	0	8
47	5	8	31
47	8	9	19
48	2	0	8
48	1	0	8
48	1	23	65
48	5	9	56
48	4	66	102
48	7	9	22
48	6	9	22
48	6	66	79
49	2	77	80
49	1	30	62
49	1	76	80
49	5	36	76
49	4	0	29
49	7	64	76
49	6	16	29
49	6	63	75
50	3	25	29
50	5	0	25
50	8	18	24
51	3	42	49
51	2	0	5
51	5	6	43
51	8	32	41
51	7	6	17
52	3	27	34
52	5	0	26
52	8	15	26
53	2	80	84
53	1	33	65
53	1	80	84
53	5	42	80
53	7	66	79
53	4	0	34
53	6	21	32
53	6	66	79
54	3	0	10
54	5	9	33
54	8	11	21
55	3	21	29
55	5	0	22
55	8	15	20
56	2	67	73
56	2	77	81
56	1	30	65
56	1	79	81
56	5	40	46
56	5	51	67
56	5	74	76
56	4	0	32
56	4	68	73
56	7	74	76
56	6	21	29
56	6	66	79
57	2	67	73
57	2	81	85
57	1	28	28
57	1	31	85
57	5	39	66
57	5	74	80
57	4	0	32
57	4	67	73
57	7	74	80
57	6	24	27
57	6	29	30
58	2	97	100
58	1	51	83
58	1	96	100
58	5	60	96
58	4	0	51
