36	6
177	0
43	3
24	4
116	0
74	1
22	6
3	7
158	4
100	1
28	5
192	1
107	4
30	0
106	4
145	6
169	1
7	6
31	5
195	1
14	1
87	0
149	5
154	7
175	5
94	7
50	1
75	6
99	5
80	6
119	5
101	7
64	7
147	2
72	5
150	0
130	7
56	6
52	1
81	2
54	0
55	1
88	1
142	3
200	6
84	4
196	1
18	0
173	1
66	6
197	4
63	7
121	4
198	4
131	0
73	3
23	3
187	7
188	0
12	2
115	6
114	2
37	6
174	4
15	0
39	7
179	4
44	5
93	1
204	4
46	0
133	0
157	3
186	6
159	0
168	5
11	4
35	3
16	4
40	1
89	5
143	3
170	7
148	1
171	5
129	4
13	6
155	4
97	7
151	1
132	2
160	4
25	3
184	1
71	2
27	0
124	4
162	6
6	1
5	7
79	0
128	6
167	5
61	2
176	0
0	2
126	4
8	0
57	6
135	7
144	2
163	1
77	6
140	5
83	2
82	6
194	3
41	5
65	0
178	0
96	0
136	1
45	4
139	1
53	6
10	0
34	5
58	6
190	4
113	4
38	7
67	0
203	2
199	7
118	5
180	0
208	2
161	5
51	3
181	5
32	4
183	6
207	5
164	1
125	5
141	1
108	1
146	3
152	7
110	4
90	3
153	6
19	5
111	1
92	2
69	0
1	7
117	6
137	5
156	0
21	7
104	5
122	6
4	7
102	7
103	6
112	3
127	5
165	7
17	3
91	4
109	7
172	4
120	1
68	2
98	6
123	1
95	7
134	7
138	7
78	7
59	6
189	0
201	5
86	1
85	7
48	7
49	6
185	4
209	7
26	0
205	4
47	0
76	5
33	5
193	6
191	0
60	6
62	1
42	4
202	7
20	2
70	3
2	0
182	4
206	1
105	4
9	5
29	5
166	5
